country_populations_countryCode_final,country_populations_countryName_final,country_populations_pop2020,country_populations_area,country_populations_Density,country_populations_worldPercentage,country_populations_rank
CD,DR Congo,89561.403,2344858.0,0.03819480881145042,0.17449993079927476,2
CI,Ivory Coast,26378.273999999998,322463.0,0.08180248276546456,0.051394985266190026,4
CZ,Czech Republic,10708.981000000002,78865.0,0.135788765612122,0.02086519840952858,5
GF,French Guiana,298.682,83534.0,0.0035755740177652214,0.0005819469836910547,10
GP,Guadeloupe,400.124,1628.0,0.2457764127764128,0.000779594869802665,8
KR,South Korea,51269.185,100210.0,0.5116174533479693,0.09989201748698838,3
MK,Macedonia,2083.374,25713.0,0.08102415120756037,0.004059210850337038,6
MQ,Martinique,375.265,1128.0,0.3326817375886525,0.000731160012437387,9
RE,Reunion,895.312,2511.0,0.35655595380326566,0.0017444108378221839,7
US,United States,331002.651,9372610.0,0.03531595265352981,0.6449199963278432,1
YT,Mayotte,272.815,374.0,0.729451871657754,0.0005315481560846489,11
